Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2017-02-09;266.25;271.18;266.15;269.2;7820222.0;0.0;1.0;266.25;271.18;266.15;269.2;7820222.0
2017-02-10;269.79;270.95;266.11;269.23;3619739.0;0.0;1.0;269.79;270.95;266.11;269.23;3619739.0
2017-02-13;270.74;280.7899;270.51;280.6;7029605.0;0.0;1.0;270.74;280.7899;270.51;280.6;7029605.0
2017-02-14;279.03;287.39;278.61;280.98;7345224.0;0.0;1.0;279.03;287.39;278.61;280.98;7345224.0
2017-02-15;280.0;282.24;276.44;279.76;4947856.0;0.0;1.0;280.0;282.24;276.44;279.76;4947856.0
2017-02-16;277.6;280.0;268.5;268.95;7077322.0;0.0;1.0;277.6;280.0;268.5;268.95;7077322.0
2017-02-17;265.8;272.89;264.15;272.23;6257149.0;0.0;1.0;265.8;272.89;264.15;272.23;6257149.0
2017-02-21;275.45;281.4;274.01;277.39;5676747.0;0.0;1.0;275.45;281.4;274.01;277.39;5676747.0
2017-02-22;280.31;283.45;272.6;273.51;8754975.0;0.0;1.0;280.31;283.45;272.6;273.51;8754975.0
2017-02-23;264.0;264.66;255.56;255.99;14915249.0;0.0;1.0;264.0;264.66;255.56;255.99;14915249.0
2017-02-24;252.66;258.25;250.2;257.0;8171626.0;0.0;1.0;252.66;258.25;250.2;257.0;8171626.0
2017-02-27;248.17;248.36;242.01;246.23;11460810.0;0.0;1.0;248.17;248.36;242.01;246.23;11460810.0
2017-02-28;244.19;251.0;243.9;249.99;6078145.0;0.0;1.0;244.19;251.0;243.9;249.99;6078145.0
2017-03-01;254.18;254.85;249.11;250.02;4809488.0;0.0;1.0;254.18;254.85;249.11;250.02;4809488.0
2017-03-02;249.71;253.28;248.27;250.48;3351833.0;0.0;1.0;249.71;253.28;248.27;250.48;3351833.0
2017-03-03;250.74;251.9;249.0;251.57;2929234.0;0.0;1.0;250.74;251.9;249.0;251.57;2929234.0
2017-03-06;247.91;251.7;247.51;251.21;3355500.0;0.0;1.0;247.91;251.7;247.51;251.21;3355500.0
2017-03-07;251.92;253.89;248.32;248.59;3459470.0;0.0;1.0;251.92;253.89;248.32;248.59;3459470.0
2017-03-08;247.0;250.07;245.32;246.87;3728649.0;0.0;1.0;247.0;250.07;245.32;246.87;3728649.0
2017-03-09;247.63;248.66;243.0;244.9;3879293.0;0.0;1.0;247.63;248.66;243.0;244.9;3879293.0
2017-03-10;246.21;246.5;243.0;243.69;3066272.0;0.0;1.0;246.21;246.5;243.0;243.69;3066272.0
2017-03-13;244.82;246.85;242.781;246.17;3022625.0;0.0;1.0;244.82;246.85;242.781;246.17;3022625.0
2017-03-14;246.11;258.12;246.02;258.0;7598446.0;0.0;1.0;246.11;258.12;246.02;258.0;7598446.0
2017-03-15;257.0;261.0;254.27;255.73;5330806.0;0.0;1.0;257.0;261.0;254.27;255.73;5330806.0
2017-03-16;262.4;265.75;259.06;262.05;7132153.0;0.0;1.0;262.4;265.75;259.06;262.05;7132153.0
2017-03-17;264.0;265.33;261.2;261.5;6497496.0;0.0;1.0;264.0;265.33;261.2;261.5;6497496.0
2017-03-20;260.6;264.55;258.821;261.92;3614294.0;0.0;1.0;260.6;264.55;258.821;261.92;3614294.0
2017-03-21;262.83;264.8;250.24;250.68;6908554.0;0.0;1.0;262.83;264.8;250.24;250.68;6908554.0
2017-03-22;251.56;255.07;250.51;255.01;4059297.0;0.0;1.0;251.56;255.07;250.51;255.01;4059297.0
2017-03-23;255.39;257.672;253.3;254.78;3320245.0;0.0;1.0;255.39;257.672;253.3;254.78;3320245.0
